Title;Artist;Album;Track;Genre;Year;Length;Filename;
Vortex;Brattig & Krüger+meyer;Winter Collection 2017;14/19;Electronic;2017;438;Brattig & Krüger+meyer - 14 - Vortex.mp3;
Piano in the Dark;Brenda Russell ;Ultimate Soul Collection Soul 100 Hits CD3;6;Soul;2008;258;Brenda Russell  - 06 - Piano in the Dark.mp3;
Circus;Britney Spears;;006;Pop;2009;193;Britney Spears - 06 - Circus.mp3;
Womanizer;Britney Spears;;009;Pop;2009;222;Britney Spears - 09 - Womanizer.mp3;
If U Seek Amy ;Britney Spears;;68;Pop;;216;Britney Spears - 68 - If U Seek Amy .mp3;
Brass Jehovah (feat. Skyzoo, Termanology & Brizz Rawstein);Bronze Nazaret;The Academy 3;11/34;Hip Hop;2021;277;Bronze Nazaret - 11 - Brass Jehovah (feat. Skyzoo, Termanology & Brizz Rawstein).mp3;
24K Magic;Bruno Mars;100 Greatest Modern Pop Songs;19;Soul;2020;226;Bruno Mars - 19 - 24K Magic.mp3;
Autumn in New York;Bud Powell;(1953) Amazing Bud Powell, Vol. 2 (and Roost);01;Jazz Piano;1953;171;Bud Powell - 01 - Autumn in New York.mp3;
Reets and I;Bud Powell;(1953) Amazing Bud Powell, Vol. 2 (and Roost);02;Jazz Piano;1953;198;Bud Powell - 02 - Reets and I.mp3;
Over The Rainbow;Bud Powell;(1956-57) The Complete RCA Trio Sessions;03;Jazz Piano;1956;203;Bud Powell - 03 - Over The Rainbow.mp3;
Sure Thing;Bud Powell;(1953) Amazing Bud Powell, Vol. 2 (and Roost);03;Jazz Piano;1953;160;Bud Powell - 03 - Sure Thing.mp3;
Blues For Bessie;Bud Powell;(1956-57) The Complete RCA Trio Sessions;04;Jazz Piano;1956;342;Bud Powell - 04 - Blues For Bessie.mp3;
Time Was;Bud Powell;(1956-57) The Complete RCA Trio Sessions;05;Jazz Piano;1956;191;Bud Powell - 05 - Time Was.mp3;
Mozart - Quartet - d-moll K.421 - 2. Andante;Budapest SQ;Mozart - Quartet - d-moll K.421 (Budapest);02;Classical;1953;378;Budapest SQ - 02 - Mozart - Quartet - d-moll K.421 - 2. Andante.mp3;
Mozart - Quartet - d-moll K.421 - 3. Menuetto. Allegretto -- Trio.;Budapest SQ;Mozart - Quartet - d-moll K.421 (Budapest);03;Classical;1953;242;Budapest SQ - 03 - Mozart - Quartet - d-moll K.421 - 3. Menuetto. Allegretto -- Trio..mp3;
Mozart - Quartet - d-moll K.421 - 4. Allegretto ma non troppo;Budapest SQ;Mozart - Quartet - d-moll K.421 (Budapest);04;Classical;1953;425;Budapest SQ - 04 - Mozart - Quartet - d-moll K.421 - 4. Allegretto ma non troppo.mp3;
I Can Fight;Bunched;Winter Collection 2017;07/19;Electronic;2017;396;Bunched - 07 - I Can Fight.mp3;
Secret Vale (Original Mix);C.A.V.O.K.;Chill out Magnifique, Vol. 1;17;Electronic Chill;2019-10-25;254;C.A.V.O.K. - 17 - Secret Vale (Original Mix).mp3;
Three Swings And Out;Cab Calloway;Classics (1937-1938);21/24;Swing;1938;136;Cab Calloway - 21 - Three Swings And Out.mp3;
How The West Was Won (2021 Version);Cali Agents;The Academy 3;22/34;Hip Hop;2021;229;Cali Agents - 22 - How The West Was Won (2021 Version).mp3;
Feels;Calvin Harris, Pharrell Williams, Katy Perry, Big Sean;100 Greatest Modern Pop Songs;43;Soul;2020;223;Calvin Harris, Pharrell Williams, Katy Perry, Big Sean - 43 - Feels.mp3;
Single Life;Cameo ;The Ultimate Collection Soul 100 Hits CD05;10;Soul;2008;232;Cameo  - 10 - Single Life.mp3;
Entameta (feat. DMX);Canibus;The Academy 3;15/34;Hip Hop;2021;301;Canibus - 15 - Entameta (feat. DMX).mp3;
Can't Hold On;Canned Heat;Blues Classics - 100 Greatest Hits;4;Blues;2001;153;Canned Heat - 04 - Can't Hold On.mp3;
Louise;Canned Heat;Blues Classics - 100 Greatest Hits;19;Blues;;188;Canned Heat - 19 - Louise.mp3;
Still Talkin' To Ya;Cannonball Adderley;(1955) Cannonball;02;Jazz;1955;535;Cannonball Adderley - 02 - Still Talkin' To Ya.mp3;
Willows;Cannonball Adderley;(1955) Julian 'Cannonball' Adderley;02/10;Jazz;1955;299;Cannonball Adderley - 02 - Willows.mp3;
Do That To Me One More Time;Captain & Tennille ;The Ultimate Collection Soul 100 Hits CD02;7;Soul;2008;229;Captain & Tennille  - 07 - Do That To Me One More Time.mp3;
Call Me Maybe;Carly Rae Jepsen, Tavish Crowe;100 Greatest Modern Pop Songs;34;Pop;2020;193;Carly Rae Jepsen, Tavish Crowe - 34 - Call Me Maybe.mp3;
The Water Is Wide;Carolyn Hester;The Greenwich Village Folk Scene CD3;18/20;Folk;2014;224;Carolyn Hester - 18 - The Water Is Wide.mp3;
Dona Dona Dona (Live);Chad Mitchell Trio;The Greenwich Village Folk Scene CD3;13/20;Folk;2014;195;Chad Mitchell Trio - 13 - Dona Dona Dona (Live).mp3;
The Milkman's Matinee;Charlie Barnet;1936-1937 {Chronological Classics, 1159};11/23;Swing;1936;182;Charlie Barnet - 11 - The Milkman's Matinee.mp3;
Moose The Mooche;Charlie Parker;1953 At Storyville;01/9;Jazz;1953;316;Charlie Parker - 01 - Moose The Mooche.mp3;
I'll Walk Alone;Charlie Parker;1953 At Storyville;02/9;Jazz;1953;297;Charlie Parker - 02 - I'll Walk Alone.mp3;
Isn't It Romantic;Chet Baker;(1953) Chet Baker With Russ Freeman;01/25;Jazz;1953;212;Chet Baker - 01 - Isn't It Romantic.mp3;
My one and only love;Chick Corea;(1968) Now  He Sings, Now He Sobs;02/13;Jazz Piano;1968;218;Chick Corea - 02 - My one and only love.mp3;
Now he beats the drum - Now he stops;Chick Corea;(1968) Now  He Sings, Now He Sobs;03/13;Jazz Piano;1968;638;Chick Corea - 03 - Now he beats the drum - Now he stops.mp3;
Bossa;Chick Corea;(1968) Now  He Sings, Now He Sobs;04/13;Jazz Piano;1968;285;Chick Corea - 04 - Bossa.mp3;
I Got Rhythm;Chick Webb Orchestra;(1937-1940) All Decca instrumentals;08/25;Swing;1937;155;Chick Webb Orchestra - 08 - I Got Rhythm.mp3;
I Ain't Got Nobody;Chick Webb Orchestra;(1937-1940) All Decca instrumentals;09/25;Swing;1937;186;Chick Webb Orchestra - 09 - I Ain't Got Nobody.mp3;
I'd Rather Go Blind;Chicken Shack;100 Hits - The Best - Soft Rock Album - CD2;18/20;Soul;2018;196;Chicken Shack - 18 - I'd Rather Go Blind.mp3;
Grey Discipline (feat. Eto);Chino XL;The Academy 3;04/34;Hip Hop;2021;203;Chino XL - 04 - Grey Discipline (feat. Eto).mp3;
What'll I Do [with Paula Cole];Chris Botti;2004 - When I Fall In Love;02;Jazz;2004;310;Chris Botti - 02 - What'll I Do [with Paula Cole].mp3;
Superhuman;Chris Brown ft. Keri Hilson;;97;Pop;2009;221;Chris Brown ft. Keri Hilson - 97 - Superhuman.mp3;
Rendezvous with the Trumpets;Chris Hartwig;Winter Collection 2017;09/19;Electronic;2017;431;Chris Hartwig - 09 - Rendezvous with the Trumpets.mp3;
The Voice Within;Christina Aguilera;100 Hits - The Best - Soft Rock Album - CD3;17/20;Soul;2018;265;Christina Aguilera - 17 - The Voice Within.mp3;
Ain't Got No Home (Original Mix);Clarence Frogman Henry;The Magic of Rhythm and Blues, Vol. 1;14;Rhythm n Blues;2021;142;Clarence Frogman Henry - 14 - Ain't Got No Home (Original Mix).mp3;
I Can't Help Myself;Classic R&B;Classic R&B;3/14;Rhythm n Blues;2003;165;Classic R&B - 03 - I Can't Help Myself.mp3;
I Second That Emotion;Classic R&B;Classic R&B;5/14;Rhythm n Blues;2003;168;Classic R&B - 05 - I Second That Emotion.mp3;
Dancing Machine;Classic R&B;Classic R&B;8/14;Soul;2003;164;Classic R&B - 08 - Dancing Machine.mp3;
Why Can't We Be Friends?;Classic R&B;Classic R&B;9/14;Rhythm n Blues;2003;227;Classic R&B - 09 - Why Can't We Be Friends.mp3;
Best Thing That Ever Happened To Me;Classic R&B;Classic R&B;12/14;Rhythm n Blues;2003;226;Classic R&B - 12 - Best Thing That Ever Happened To Me.mp3;
Nothing From Nothing;Classic R&B;Classic R&B;14/14;Rhythm n Blues;2003;155;Classic R&B - 14 - Nothing From Nothing.mp3;
A La Francaise;Claude Bolling;(1984) Jazz A La Francaise;01;Jazz Piano;1984;578;Claude Bolling - 01 - A La Francaise.mp3;
Garnerama;Claude Bolling;(1984) Jazz A La Francaise;02;Jazz Piano;1984;329;Claude Bolling - 02 - Garnerama.mp3;
Bach To Swing;Claude Bolling;(1984) Jazz A La Francaise;03;Jazz Piano;1984;302;Claude Bolling - 03 - Bach To Swing.mp3;
Etude In Blue;Claude Bolling;(1984) Jazz A La Francaise;04;Jazz Piano;1984;321;Claude Bolling - 04 - Etude In Blue.mp3;
Nocturnes: II. Fêtes;Claude Debussy;La Mer - Nocturnes;2/8;Classical;1995;391;Claude Debussy - 02 - Nocturnes II. Fêtes.mp3;
Nocturnes: III. Sirènes;Claude Debussy;La Mer - Nocturnes;3/8;Classical;1995;587;Claude Debussy - 03 - Nocturnes III. Sirènes.mp3;
Premiere Rhapsodie;Claude Debussy;La Mer - Nocturnes;4/8;Classical;1995;522;Claude Debussy - 04 - Premiere Rhapsodie.mp3;
Bellarosa;Clifford Brown;(1953) Memorial Album (Blue Note);01/18;Jazz;1953;255;Clifford Brown - 01 - Bellarosa.mp3;
Viva La Vida;Coldplay;;042;Pop;2009;244;Coldplay - 42 - Viva La Vida.mp3;
You Blew Out the Flame in My Heart;Coleman Hawkins;(1960) Coleman Hawkins All Stars;01;Jazz;1960;359;Coleman Hawkins - 01 - You Blew Out the Flame in My Heart.mp3;
There Is No Greater Love;Coleman Hawkins;(1960) Night Hawk;02;Jazz;1960;498;Coleman Hawkins - 02 - There Is No Greater Love.mp3;
A Strange Act (2);Coleman Hawkins;(1935-1937) Complete Recordings;12;Swing;1937;153;Coleman Hawkins - 12 - A Strange Act (2).mp3;
Trapped;Colonel Abrams ;The Ultimate Collection Soul 100 Hits CD05;8;Soul;2008;250;Colonel Abrams  - 08 - Trapped.mp3;
Light Breeze (feat. Cosmin Gherman);Corné;Winter Collection 2017;15/19;Electronic Chill;2017;283;Corné - 15 - Light Breeze (feat. Cosmin Gherman).mp3;
April in Paris;Count Basie;(1956) April in Paris;01/10;Swing;1956;232;Count Basie - 01 - April in Paris.mp3;
Basie Land;Count Basie;(1964) Basie Land;01;Swing;1964;137;Count Basie - 01 - Basie Land.mp3;
Big Brother;Count Basie;(1964) Basie Land;02;Swing;1964;223;Count Basie - 02 - Big Brother.mp3;
Teach Me Tonight;Count Basie;(1965) Our Shining Hour with Sammy Davis;2/12;Swing;1965;187;Count Basie - 02 - Teach Me Tonight.mp3;
Oh, Lady Be Good;Count Basie;(1936-1938) Chronological;04;Swing;1936;189;Count Basie - 04 - Oh, Lady Be Good.mp3;
April In Paris;Count Basie;(1965) Our Shining Hour with Sammy Davis;6/12;Swing;1965;167;Count Basie - 06 - April In Paris.mp3;
M - Squad;Count Basie;(1969) Basic Basie;07;Swing;1969;136;Count Basie - 07 - M - Squad.mp3;
She's A Woman (W-O-M-A-N);Count Basie;(1965) Our Shining Hour with Sammy Davis;9/12;Swing;1965;145;Count Basie - 09 - She's A Woman (W-O-M-A-N).mp3;
Yuriko;Count Basie;(1964) Basie Land;09;Swing;1964;254;Count Basie - 09 - Yuriko.mp3;
You Can Count on Me;Count Basie;(1939, Vol.2) Chronological;10;Swing;1939;178;Count Basie - 10 - You Can Count on Me.mp3;
You and Your Love;Count Basie;(1939, Vol.2) Chronological;11;Swing;1939;164;Count Basie - 11 - You and Your Love.mp3;
Let Me Dream;Count Basie;(1936-1938) Chronological;25;Swing;1937;189;Count Basie - 25 - Let Me Dream.mp3;
RISE (feat. Rittz);Crumbzilla;The Academy 3;23/34;Hip Hop;2021;224;Crumbzilla - 23 - RISE (feat. Rittz).mp3;
People Get Ready;Curtis Mayfield & The Impressions ;The Ultimate Collection Soul 100 Hits CD01;20;Soul;2008;159;Curtis Mayfield & The Impressions  - 20 - People Get Ready.mp3;
Automatik;Cyence;Various Artists #1;3;Electronic;2020;389;Cyence - 03 - Automatik.mp3;
Sweet Cleo Brown;Dave Brubeck;(1957) Plays and Plays and Plays;01/10;Jazz Piano;1957;236;Dave Brubeck - 01 - Sweet Cleo Brown.mp3;
I'm Old Fashioned;Dave Brubeck;(1957) Plays and Plays and Plays;02/10;Jazz Piano;1957;301;Dave Brubeck - 02 - I'm Old Fashioned.mp3;
Venus (Original Mix);Dave Ross;Chill out Magnifique, Vol. 1;12;Electronic Chill;2019-10-25;277;Dave Ross - 12 - Venus (Original Mix).mp3;
A Little Too Not Over You;David Archuleta;;077;Pop;;198;David Archuleta - 77 - A Little Too Not Over You.mp3;
Lady Stardust;David Bowie;The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (Riko RCD 10134);06/16;Soft Rock;1972;201;David Bowie - 06 - Lady Stardust.mp3;
Sweet Head - (Previously Unreleased Track);David Bowie;The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (Riko RCD 10134);14/16;Rock;1972;257;David Bowie - 14 - Sweet Head - (Previously Unreleased Track).mp3;
Ziggy Stardust - (Previously Unreleased Original Demo);David Bowie;The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (Riko RCD 10134);15/16;Soft Rock;1972;220;David Bowie - 15 - Ziggy Stardust - (Previously Unreleased Original Demo).mp3;
Modulation;Dawad;Various Artists #1;12;Electronic;2020;401;Dawad - 12 - Modulation.mp3;
When Will You (Make My Telephone Ring)?;Deacon Blue;100 Hits - The Best - Soft Rock Album - CD2;16/20;Soul;2018;261;Deacon Blue - 16 - When Will You (Make My Telephone Ring).mp3;
See The Day;Dee C. Lee;100 Hits - The Best - Soft Rock Album - CD5;07/20;Soul;2018;259;Dee C. Lee - 07 - See The Day.mp3;
Seven Seas (Original Mix);Deep & Wide;Chill out Magnifique, Vol. 1;18;Electronic Chill;2019-10-25;303;Deep & Wide - 18 - Seven Seas (Original Mix).mp3;
Speed King;Deep Purple;(1970) Deep Purple In Rock;1/7;Rock;1970;354;Deep Purple - 01 - Speed King.mp3;
Bloodsucker;Deep Purple;(1970) Deep Purple In Rock;2/7;Rock;1970;250;Deep Purple - 02 - Bloodsucker.mp3;
Tricky Riddles;Della, Poulper;Various Artists #2;4;Electronic;2021;364;Della, Poulper - 04 - Tricky Riddles.mp3;
Don't Look Any Further;Dennis Edwards feat. Siedah Garrett ;The Ultimate Collection Soul 100 Hits CD05;12;Soul;2008;242;Dennis Edwards feat. Siedah Garrett  - 12 - Don't Look Any Further.mp3;
Somewhere;Dennis Pedersen;Liquicity Summer 2021;16;Electronic Chill;2021;350;Dennis Pedersen - 16 - Somewhere.mp3;
You Gotta Be;Des'ree ;Ultimate Soul Collection Soul 100 Hits CD3;10;Soul;2008;239;Des'ree  - 10 - You Gotta Be.mp3;
Montmartre;Dexter Gordon;(1969) The Tower of Power;01/4;Jazz;1969;661;Dexter Gordon - 01 - Montmartre.mp3;
The Rainbow People;Dexter Gordon;(1969) The Tower of Power;02/4;Jazz;1969;532;Dexter Gordon - 02 - The Rainbow People.mp3;
I'm Still Waiting;Diana Ross ;The Ultimate Collection Soul 100 Hits CD01;1;Soul;2008;223;Diana Ross  - 01 - I'm Still Waiting.mp3;
You Keep Me Hanging On;Diana Ross & The Supremes ;The Ultimate Collection Soul 100 Hits CD01;7;Soul;2008;161;Diana Ross & The Supremes  - 07 - You Keep Me Hanging On.mp3;
Barbizon Blues;Didier Lockwood;(1999) Tribute To Stephane Grappelli;4/14;Jazz;1999;260;Didier Lockwood - 04 - Barbizon Blues.mp3;
Don't Be A Stranger;Dina Carroll ;Ultimate Soul Collection Soul 100 Hits CD3;17;Soul;2008;260;Dina Carroll  - 17 - Don't Be A Stranger.mp3;
Is You Is Or Is You Ain't My Baby?;Dinah Washington;(1962) Jazz Roulette;01/24;Swing;1962;205;Dinah Washington - 01 - Is You Is Or Is You Ain't My Baby.mp3;
Heartbreaker;Dionne Warwick ;Ultimate Soul Collection Soul 100 Hits CD3;5;Soul;2008;253;Dionne Warwick  - 05 - Heartbreaker.mp3;
Chain Agent (feat. Planet Asia & Supreme Cerebral);Dirty Diggs;The Academy 3;30/34;Hip Hop;2021;141;Dirty Diggs - 30 - Chain Agent (feat. Planet Asia & Supreme Cerebral).mp3;
On The Sunny Side Of The Street;Dizzy Gillespie;(1957) Dizzy Gillespie,Sonny Stitt,Sonny Rollins-Sonny Side up;01;Jazz;1957;344;Dizzy Gillespie - 01 - On The Sunny Side Of The Street.mp3;
There Is No Greater Love (Alt #1);Dizzy Gillespie;(1959.-60) The Verve Small Group;01/16;Jazz;1959;202;Dizzy Gillespie - 01 - There Is No Greater Love (Alt #1).mp3;
The Eternal Triangle;Dizzy Gillespie;(1957) Dizzy Gillespie,Sonny Stitt,Sonny Rollins-Sonny Side up;02;Jazz;1957;853;Dizzy Gillespie - 02 - The Eternal Triangle.mp3;
I Found A Million Dollar Baby In A Five And Dime Store (Alt);Dizzy Gillespie;(1959.-60) The Verve Small Group;03/16;Jazz;1959;401;Dizzy Gillespie - 03 - I Found A Million Dollar Baby In A Five And Dime Store (Alt).mp3;
Moonglow;Dizzy Gillespie;(1959) The Verve Small Group;03/13;Jazz;1959;382;Dizzy Gillespie - 03 - Moonglow.mp3;
Sweet Geogia Brown;Django Reinhardt and Stephane Grappelli;(1937) Recordings with Eddie South;02;Swing;1937;168;Django Reinhardt and Stephane Grappelli - 02 - Sweet Geogia Brown.mp3;
Cake By The Ocean;DNCE, Mattias Larsson, Robin Fredriksson, Justin Tranter, Joe Jonas;100 Greatest Modern Pop Songs;05;Pop;2020;219;DNCE, Mattias Larsson, Robin Fredriksson, Justin Tranter, Joe Jonas - 05 - Cake By The Ocean.mp3;
Stream Of Whiskey;Doc Watson;The Greenwich Village Folk Scene CD3;2/20;Folk;2014;129;Doc Watson - 02 - Stream Of Whiskey.mp3;
Little Sadie;Doc Watson;The Greenwich Village Folk Scene CD1;10;Folk;2014;140;Doc Watson - 10 - Little Sadie.mp3;
Tough Luck;Doc Watson;The Greenwich Village Folk Scene CD3;14/20;Folk;2014;147;Doc Watson - 14 - Tough Luck.mp3;
Peg And Awl;Doc Watson & Clarence Ashley;The Greenwich Village Folk Scene CD2;10/20;Folk;2014;133;Doc Watson & Clarence Ashley - 10 - Peg And Awl.mp3;
Ghetto Lament;Don Blackman ;Ultimate Soul Collection Soul 100 Hits CD3;20;Soul;2008;362;Don Blackman  - 20 - Ghetto Lament.mp3;
Jackie My Little Cat;Don Byas;(1961) A Tribute to Cannonball (with Bud Powell);02;Jazz;1961;290;Don Byas - 02 - Jackie My Little Cat.mp3;
Cherokee;Don Byas;(1961) A Tribute to Cannonball (with Bud Powell);03;Jazz;1961;380;Don Byas - 03 - Cherokee.mp3;
One Dance;Drake, Wizkid, Kyla;100 Greatest Modern Pop Songs;07;Pop;2020;174;Drake, Wizkid, Kyla - 07 - One Dance.mp3;
Be the One;Dua Lipa;100 Greatest Modern Pop Songs;52;Pop;2020;203;Dua Lipa - 52 - Be the One.mp3;
Everything But You;Duke Ellington;(1960) Unknown Session;01;Swing;1960;212;Duke Ellington - 01 - Everything But You.mp3;
Slow Blues;Duke Ellington;(1966) The Pianist;02/10;Jazz Piano;1966;241;Duke Ellington - 02 - Slow Blues.mp3;
All Too Soon;Duke Ellington;(1960) Unknown Session;03;Swing;1960;192;Duke Ellington - 03 - All Too Soon.mp3;
Dinah's In a Jam;Duke Ellington;(1938) Complete Columbia;03/25;Swing;1938;173;Duke Ellington - 03 - Dinah's In a Jam.mp3;
Hapy Go Lucky Local;Duke Ellington;(1964) All Star Band;3/16;Swing;1964;491;Duke Ellington - 03 - Hapy Go Lucky Local.mp3;
Looking Glass;Duke Ellington;(1966) The Pianist;03/10;Jazz Piano;1966;176;Duke Ellington - 03 - Looking Glass.mp3;
The Sheperd (take 1);Duke Ellington;(1966) The Pianist;04/10;Jazz Piano;1966;350;Duke Ellington - 04 - The Sheperd (take 1).mp3;
Yearning For Love;Duke Ellington;(1936-37) Complete Columbia;04/22;Swing;1936;175;Duke Ellington - 04 - Yearning For Love.mp3;
In a Jam;Duke Ellington;(1936-37) Complete Columbia;05/22;Swing;1936;178;Duke Ellington - 05 - In a Jam.mp3;
The Sheperd (take 2);Duke Ellington;(1966) The Pianist;05/10;Jazz Piano;1966;395;Duke Ellington - 05 - The Sheperd (take 2).mp3;
Tap Dancer's Blues;Duke Ellington;(1966) The Pianist;06/10;Jazz Piano;1966;173;Duke Ellington - 06 - Tap Dancer's Blues.mp3;
Keeping Yourself Warm;Dustkey;Liquicity Summer 2021;4;Electronic;2021;318;Dustkey - 04 - Keeping Yourself Warm.mp3;
Take It Easy;Eagles;(1972) Eagles;1/10;Rock;1972;213;Eagles - 01 - Take It Easy.mp3;
Witchy Woman;Eagles;(1972) Eagles;2/10;Rock;1972;252;Eagles - 02 - Witchy Woman.mp3;
Chug All Night;Eagles;(1972) Eagles;3/10;Rock;1972;196;Eagles - 03 - Chug All Night.mp3;
Hollywood Waltz;Eagles;(1975) Eagles - One Of These Nights;3/9;Soft Rock;1975;241;Eagles - 03 - Hollywood Waltz.mp3;
Lyin' Eyes;Eagles;(1975) Eagles - One Of These Nights;5/9;Soft Rock;1975;381;Eagles - 05 - Lyin' Eyes.mp3;
Sweet Georgia Brown;Earl Hines;(1934-1937) Chronological;04/25;Swing;1934;148;Earl Hines - 04 - Sweet Georgia Brown.mp3;
After The Love Has Gone;Earth, Wind & Fire ;Ultimate Soul Collection Soul 100 Hits CD3;2;Soul;2008;217;Earth, Wind & Fire  - 02 - After The Love Has Gone.mp3;
Shape of You;Ed Sheeran;100 Greatest Modern Pop Songs;06;Pop;2020;234;Ed Sheeran - 06 - Shape of You.mp3;
Third Degree (Original Mix);Eddie Boyd;The Magic of Rhythm and Blues, Vol. 1;22;Blues;2021;196;Eddie Boyd - 22 - Third Degree (Original Mix).mp3;
Cello Concerto - III. Adagio;Edward Elgar;Elgar/Tchaikovsky: Cello Cto. & Rococo Variations;3/12;Classical;1990;304;Edward Elgar - 03 - Cello Concerto - III. Adagio.mp3;
I'll Chase the Blues Away;Ella Fitzgerald;(1935-36) Ella Fitzgerald Complete;04/26;Swing;1935;165;Ella Fitzgerald - 04 - I'll Chase the Blues Away.mp3;
Love, You're Just a Laugh;Ella Fitzgerald;(1935-36) Ella Fitzgerald Complete;05/26;Swing;1936;183;Ella Fitzgerald - 05 - Love, You're Just a Laugh.mp3;
Ghost;Ella Henderson;100 Greatest Modern Pop Songs;33;Pop;2020;216;Ella Henderson - 33 - Ghost.mp3;
Burn;Ellie Goulding, Greg Kurstin;100 Greatest Modern Pop Songs;24;Pop;2020;231;Ellie Goulding, Greg Kurstin - 24 - Burn.mp3;
She Just Wont'do Right (Dust My Broom) (Original Mix);Elmore James;The Magic of Rhythm and Blues, Vol. 1;12;Blues;2021;181;Elmore James - 12 - She Just Wont'do Right (Dust My Broom) (Original Mix).mp3;
Candle in the Wind;Elton John;Goodbye Yellow Brick Road [DTS];2;Soft Rock;;230;Elton John - 02 - Candle in the Wind.mp3;
Mystery Train;Elvis Presley;The Sun Sessions;9/16;Rhythm n Blues;;147;Elvis Presley - 09 - Mystery Train.mp3;
I Love You Because;Elvis Presley;The Sun Sessions;13/16;Rhythm n Blues;;153;Elvis Presley - 13 - I Love You Because.mp3;
Love The Way You Lie;Eminem, Rihanna;100 Greatest Modern Pop Songs;50;Pop;2020;263;Eminem, Rihanna - 50 - Love The Way You Lie.mp3;
Los Angeles Passion (Original Mix);Emotional Sound Group;Chill out Magnifique, Vol. 2;25;Electronic Chill;2019-11-22;303;Emotional Sound Group - 25 - Los Angeles Passion (Original Mix).mp3;
Time & Space;Endrik Schroeder;Various Artists #2;7;Electronic;2021;410;Endrik Schroeder - 07 - Time & Space.mp3;
Wonderful Tonight;Eric Clapton;Time Pieces - Best Of Eric Clapton;4;Soft Rock;1982;220;Eric Clapton - 04 - Wonderful Tonight.mp3;
Promises;Eric Clapton;Time Pieces - Best Of Eric Clapton;9;Soft Rock;1982;181;Eric Clapton - 09 - Promises.mp3;
Walkin' Blues;Eric Clapton;Unplugged;09;Blues;1992;217;Eric Clapton - 09 - Walkin' Blues.mp3;
Number Eight (Potsa Lotsa);Eric Dolphy;(1961) Memorial Album;1;Jazz;1961;992;Eric Dolphy - 01 - Number Eight (Potsa Lotsa).mp3;
Sweet And Lovely;Erroll Garner;1954 July 27 Session Vol.2;02/19;Jazz Piano;1954;240;Erroll Garner - 02 - Sweet And Lovely.mp3;
Rosalie;Erroll Garner;1954 July 27 Session Vol.2;03/19;Jazz Piano;1954;159;Erroll Garner - 03 - Rosalie.mp3;
Exactly Like You;Erroll Garner;1954 July 27 Session Vol.2;04/19;Jazz Piano;1954;193;Erroll Garner - 04 - Exactly Like You.mp3;
Part-Time Blues;Erroll Garner;1954 July 27 Session Vol.2;05/19;Jazz Piano;1954;275;Erroll Garner - 05 - Part-Time Blues.mp3;
Awake the Dead (feat. DJ Boogieman);Eto;The Academy 3;17/34;Hip Hop;2021;170;Eto - 17 - Awake the Dead (feat. DJ Boogieman).mp3;
I'd Rather Go Blind;Etta James ;Ultimate Soul Collection Soul 100 Hits CD3;16;Soul;2008;154;Etta James  - 16 - I'd Rather Go Blind.mp3;
Us On a Bus;Fats Waller;(1936) The Early Years Part 3: Disk 1;06;Swing;1936;162;Fats Waller - 06 - Us On a Bus.mp3;
Silent Light;Feint;Liquicity Summer 2021;13;Electronic;2021;270;Feint - 13 - Silent Light.mp3;
Giraffe (Original Mix);Felix;Chill out Magnifique, Vol. 1;25;Electronic Chill;2019-10-25;298;Felix - 25 - Giraffe (Original Mix).mp3;
Getcha;Fern, Hectic & E-Man;East Side Gangsters 4;04/15;Hip Hop;2007;267;Fern, Hectic & E-Man - 04 - Getcha.mp3;
Smarty Pants;First Choice ;The Ultimate Collection Soul 100 Hits CD02;18;Soul;2008;158;First Choice  - 18 - Smarty Pants.mp3;
La Isla (Original Mix);Five Seasons;Chill out Magnifique, Vol. 1;11;Electronic Chill;2019-10-25;289;Five Seasons - 11 - La Isla (Original Mix).mp3;
City Lights (Original Mix);Five Seasons;Chill out Magnifique, Vol. 2;20;Electronic Chill;2019-11-22;262;Five Seasons - 20 - City Lights (Original Mix).mp3;
Another Day;Flatfoot Jones;Winter Collection 2017;13/19;Electronic;2017;376;Flatfoot Jones - 13 - Another Day.mp3;
Dreams;Fleetwood Mac;Rumours;02;Rock;1977;257;Fleetwood Mac - 02 - Dreams.mp3;
Oh Daddy;Fleetwood Mac;Rumours;10;Soft Rock;1977;233;Fleetwood Mac - 10 - Oh Daddy.mp3;
Coquette;Fletcher Henderson;(1940-1941) {Chronological Classics};17;Swing;1940;162;Fletcher Henderson - 17 - Coquette.mp3;
We Creep;Flipp;East Side Gangsters 4;07/15;Hip Hop;2007;215;Flipp - 07 - We Creep.mp3;
Whispering (Original Mix);Floor;Chill out Magnifique, Vol. 1;23;Electronic Chill;2019-10-25;338;Floor - 23 - Whispering (Original Mix).mp3;
Right Round;Flo-Rida;;032;Pop;;206;Flo-Rida - 32 - Right Round.mp3;
Cupid's Arrow;Frank McComb ;The Ultimate Collection Soul 100 Hits CD04;13;Soul;2008;281;Frank McComb  - 13 - Cupid's Arrow.mp3;
Jacqueline;Franz Ferdinand;(2004) Franz Ferdinand (Disc 1);01;Rock;2004;229;Franz Ferdinand - 01 - Jacqueline.mp3;
Open Sesame;Freddie Hubbard;Open Sesame (1960);01/8;Jazz;1960;432;Freddie Hubbard - 01 - Open Sesame.mp3;
